Risk ID,Risk Description,Category,Impact (1-5),Likelihood (1-5),Detectability (-2 to +2),Risk Score,Priority,Owner,Status,Treatment Plan,Compensating Controls,Evidence,Review Date,Notes
R-001,Secrets committed to source code repositories,Application Security,5,4,-1,19,P2,Security Engineering,In Treatment,Deploy pre-commit hooks and complete historical rotation,Secret scanning alerts with 24h rotation SLA,Scan reports and rotation logs,2025-03-15,47 alerts remaining from initial 156
R-002,Overly permissive IAM roles in production,Identity & Access,4,4,0,16,P2,Cloud Platform,In Treatment,Systematic role review and least privilege implementation,CloudTrail monitoring and sensitive API alerts,IAM Access Analyzer reports,2025-03-15,8 of 23 high-priority roles remediated
R-003,Critical vulnerabilities beyond remediation SLA,Vulnerability Management,4,3,-1,11,P3,Security Engineering,In Treatment,Improve patching process and reduce MTTR,Virtual patching via WAF for exposed services,Vulnerability scanner reports,2025-04-01,Current SLA compliance at 78%
R-004,Third-party SaaS applications without MFA,Identity & Access,4,3,+1,13,P2,IT,In Treatment,Mandate MFA for all SaaS with company data,Enhanced logging and session controls,SSO configuration audits,2025-03-15,12 of 34 apps remaining
R-005,Insufficient logging for forensic investigation,Detection & Response,3,3,+2,11,P3,Security Engineering,In Treatment,Expand log collection and retention,Application-level logging where centralized not available,Log coverage assessment,2025-04-15,SIEM deployment in progress
R-006,Developer laptops without EDR,Endpoint Security,4,3,+1,13,P2,IT,In Treatment,Complete EDR rollout to all developer machines,Host-based firewall and disk encryption,EDR coverage dashboard,2025-03-01,85% coverage achieved
R-007,No network segmentation between environments,Network Security,4,2,0,8,P3,Cloud Platform,Planned,Implement VPC segmentation strategy,Security groups restricting cross-environment traffic,Network architecture diagrams,2025-06-01,Planned for Q2
R-008,No formal vendor security assessment process,Third-Party Risk,3,4,+1,13,P2,GRC,In Treatment,Implement vendor assessment questionnaire and review process,Contractual security requirements in place,Assessment records,2025-03-15,Process documented and top 10 vendors in review
R-009,Incomplete data classification and handling procedures,Data Protection,3,3,+1,10,P3,GRC,Planned,Develop data classification scheme and handling guidelines,Sensitive data identified and protected ad-hoc,Classification policy draft,2025-06-01,Planned for Q2
R-010,Backup restoration not regularly tested,Business Continuity,5,2,+1,11,P3,SRE,In Treatment,Implement quarterly backup restoration testing,Backup completion monitoring in place,Restoration test records,2025-04-01,First test scheduled for March
R-011,Legacy application without WAF protection,Application Security,3,3,0,9,P3,VP Engineering,Accepted,Application scheduled for retirement Q2 2025,Network isolation and enhanced monitoring,Risk acceptance form RA-2025-003,2025-06-01,Retirement on track
R-012,Manual access reviews not automated,Identity & Access,2,3,0,6,P4,GRC,Accepted,Automation planned for Q2 2025,Monthly manual reviews conducted,Review completion records,2025-04-01,Compensating control verified monthly
